index,b_int,g_int,r_int,h_int,s_int,v_int
f28c4.png,134.425,112.9825,154.8875,117.725,102.085,168.5675
f28c5.png,133.83,131.975,81.2625,70.5325,145.1325,141.47
f28c6.png,157.2075,192.3,204.585,34.195,81.9075,214.11
f28c7.png,118.1475,98.87,126.8525,118.735,97.425,136.5775
f28c8.png,129.825,116.4925,131.485,120.94,41.6775,131.5875
f28c9.png,133.9725,110.9,120.5675,105.685,60.96,133.9725
f28c10.png,148.0125,115.325,133.665,107.9725,88.83,152.64
f28c11.png,159.2275,157.7925,195.33,58.1775,63.875,199.2175
f29c0.png,118.51,89.4225,75.055,89.1575,151.5975,118.51
f29c1.png,101.4375,88.24,104.9075,121.4275,73.425,106.22
f29c2.png,123.32,109.8775,124.045,119.7275,46.62,125.2425
f29c3.png,140.36,122.43,146.345,120.72,61.83,147.8925
f29c4.png,114.135,114.3325,141.2175,49.0575,91.165,148.62
f29c5.png,115.8025,97.78,126.1825,118.905,99.8425,135.785
f29c6.png,136.17,120.745,158.645,126.61,99.08,159.02
f29c7.png,146.97,130.8775,82.5025,74.9575,141.525,150.0275
f29c8.png,129.155,109.195,123.775,112.5475,60.72,129.485
f29c9.png,157.2075,192.3,204.585,34.195,81.9075,214.11
f29c10.png,209.545,219.5625,211.82,47.585,30.4375,224.0
f29c11.png,102.7425,84.8925,113.405,120.4075,124.67,116.43
f29c12.png,128.3125,113.7525,172.98,122.71,103.8875,176.87
f29c13.png,111.2325,95.31,101.845,108.855,62.78,112.06
f29c14.png,136.3025,120.705,144.66,123.6,59.6575,144.7525
f29c15.png,153.6575,119.015,121.4475,100.2525,80.39,153.8675
f30c0.png,117.0425,100.655,111.76,114.61,61.8325,118.895
f30c1.png,107.8525,92.9575,107.3925,118.3775,66.8975,109.05
f30c2.png,114.635,113.6775,139.1525,48.1325,94.985,148.85
f30c3.png,109.415,93.7525,130.6275,124.47,105.2675,134.245
f30c4.png,146.7875,135.2275,84.1625,73.5875,139.4125,150.9475
f30c5.png,158.2725,194.835,209.33,37.2025,75.4525,215.28
f30c6.png,140.7325,114.8625,112.1675,98.7375,102.9325,143.8825
f30c7.png,123.2875,91.245,74.4775,88.6325,155.6075,123.2875
f30c8.png,136.75,119.4175,144.64,122.285,65.2125,145.6975
f30c9.png,135.295,108.985,97.75,88.45,100.595,135.295
f30c10.png,165.03,145.635,182.5725,125.44,79.7825,182.99
f30c11.png,200.52,207.3225,201.61,52.275,41.1025,217.02
